,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,forum Q,forum A,office hour visits,dropout
12893,Y,third,22,32,F,,,,,,,,,,1,1,0,Y
12894,Y,first,81,65,D,23,91,A,66,A,77,C,B,A,1,19,8,N
12895,Y,third,44,70,A,67,60,D,31,B,67,C,A,B,11,2,2,N
12896,N,third,34,34,A,24,52,F,83,D,1,A,B,F,6,19,8,N
12897,N,third,57,67,A,75,28,A,,,,,,,1,1,1,Y
12898,Y,first,25,39,D,21,12,F,,,,,,,2,0,0,Y
12899,Y,third,63,31,A,96,60,F,31,C,22,B,A,A,15,4,1,N
12900,Y,third,20,44,C,,,,,,,,,,4,1,1,Y
12901,Y,third,70,77,B,75,31,D,54,B,73,A,F,A,6,7,3,N
12902,Y,first,71,2,B,82,1,D,59,A,50,C,A,C,11,21,3,N
12903,N,third,13,94,D,40,21,F,92,D,,,,,5,2,0,Y
12904,Y,third,71,43,A,87,71,C,50,B,12,A,A,C,11,3,1,N
12905,Y,third,61,86,A,70,50,F,,,,,,,5,1,0,Y
12906,Y,third,63,22,C,64,83,D,84,F,94,A,A,C,13,3,1,N
12907,Y,first,57,1,F,47,14,C,95,D,88,C,C,C,14,12,9,N
12908,N,third,9,18,F,,,,,,,,,,7,1,0,Y
12909,Y,third,28,39,D,17,10,F,,,,,,,0,1,1,Y
12910,Y,first,39,33,F,31,7,F,99,D,28,A,D,D,15,22,2,N
12911,Y,second,6,73,C,20,22,C,60,A,39,C,D,D,5,4,9,N
12912,Y,third,47,32,C,53,34,C,85,F,30,C,F,A,2,3,1,N
12913,N,third,1,8,F,1,44,C,25,D,29,A,B,C,1,3,2,N
12914,Y,first,54,47,A,66,0,F,,,,,,,0,0,1,Y
12915,N,second,8,7,A,9,32,D,25,A,26,C,B,C,1,2,1,N
12916,Y,third,16,83,D,25,80,F,82,B,12,B,D,C,13,15,5,N
12917,Y,first,99,81,A,47,2,D,19,B,34,B,F,F,2,5,2,Y
12918,N,second,95,90,C,84,90,C,1,A,99,F,B,A,8,1,2,N
12919,Y,second,25,19,F,24,72,B,47,C,66,F,A,B,7,22,8,N
12920,Y,second,88,14,B,26,8,D,17,C,52,B,C,F,19,5,8,N
12921,N,third,4,16,A,12,40,D,32,B,25,D,C,C,4,2,2,N
12922,N,first,70,45,D,40,77,F,83,D,91,F,D,C,2,16,7,N
12923,Y,first,53,48,F,98,26,B,24,F,33,C,D,A,9,2,2,N
12924,Y,first,96,12,B,64,30,F,81,B,60,C,F,B,5,7,4,N
12925,Y,third,88,84,B,29,60,A,41,A,20,C,C,F,11,19,2,N
12926,Y,first,45,28,F,35,20,A,30,D,17,F,D,F,13,11,8,N
12927,N,first,14,41,B,96,89,F,95,D,32,B,A,F,10,12,9,N
12928,Y,third,23,51,B,55,46,C,42,F,67,F,F,A,14,9,4,N
12929,Y,second,16,21,D,46,54,D,57,B,23,D,B,B,21,17,8,N
12930,Y,third,37,99,D,1,19,B,21,C,38,F,C,C,3,8,3,Y
12931,N,first,74,40,A,81,89,D,10,B,37,C,F,A,7,12,4,N
12932,Y,first,38,55,F,89,25,A,41,B,68,D,D,D,16,19,3,N
12933,Y,third,26,23,C,19,24,B,12,F,,,,,1,0,0,Y
12934,N,first,4,2,D,34,46,D,95,C,52,D,A,C,7,12,7,N
12935,N,first,23,1,C,44,71,F,24,D,86,B,C,F,5,23,9,N
12936,Y,first,23,54,D,49,43,F,,,,,,,3,0,0,Y
12937,N,second,49,68,C,2,7,D,,,,,,,1,2,0,Y
12938,N,first,62,64,B,7,89,C,28,D,73,D,B,C,7,9,5,N
12939,Y,third,6,50,C,7,56,C,19,A,94,A,F,A,10,7,9,N
12940,Y,third,61,63,F,87,13,F,20,F,,,,,1,0,1,Y
12941,N,second,49,35,A,61,45,A,56,F,,,,,0,3,1,Y
12942,N,third,13,33,F,,,,,,,,,,3,0,1,Y
12943,Y,first,8,71,C,19,78,C,96,D,4,F,A,F,6,4,1,N
12944,N,second,55,92,C,38,23,A,68,F,,,,,3,4,3,Y
12945,N,second,38,26,D,75,33,A,58,F,,,,,1,2,2,Y
12946,Y,second,73,81,A,1,18,F,49,C,99,A,D,A,10,3,8,N
12947,N,third,15,38,F,,,,,,,,,,7,1,1,Y
12948,N,first,45,30,B,26,30,D,2,D,97,C,A,B,11,24,8,N
12949,Y,second,44,47,D,49,48,D,,,,,,,1,1,1,Y
12950,N,first,3,9,D,29,44,D,88,A,35,A,F,D,20,6,7,N
12951,N,second,61,51,A,34,15,A,85,F,,,,,6,4,2,Y
12952,N,third,8,10,A,4,37,C,35,B,26,C,D,C,2,2,2,N
12953,Y,third,58,31,F,99,36,A,47,F,85,F,A,D,2,7,1,N
12954,Y,third,1,10,B,,,,,,,,,,2,1,1,Y
12955,N,second,7,94,C,17,25,B,83,C,,,,,7,3,1,Y
12956,N,third,6,18,F,55,47,D,47,D,77,A,B,C,19,7,5,N
12957,Y,second,41,38,A,38,94,A,57,B,15,D,D,D,4,6,1,Y
12958,Y,first,46,15,C,54,1,B,35,F,,,,,6,3,0,Y
12959,Y,first,97,46,C,98,59,A,55,B,80,A,F,A,14,6,4,N
12960,N,second,46,25,C,29,87,B,29,B,51,D,A,C,19,21,4,N
12961,N,first,16,23,D,21,54,D,76,C,30,C,A,D,28,6,6,N
12962,N,third,3,8,A,12,42,F,24,A,29,C,C,C,2,3,2,N
12963,N,third,16,25,B,,,,,,,,,,2,0,0,Y
12964,Y,third,91,64,C,45,88,A,69,D,7,F,D,D,9,7,1,Y
12965,N,third,2,26,F,50,39,D,85,C,26,A,A,B,15,5,6,N
12966,N,third,7,8,F,,,,,,,,,,7,0,0,Y
12967,Y,third,94,47,A,76,50,F,36,B,57,F,A,D,13,3,3,N
12968,Y,second,59,69,A,46,85,F,,,,,,,4,1,0,Y
12969,Y,third,55,43,C,49,23,F,,,,,,,1,2,0,Y
12970,N,third,5,12,B,2,32,D,49,B,27,C,A,D,1,1,1,N
12971,N,third,1,16,A,9,35,D,41,F,24,C,B,C,3,3,2,N
12972,N,third,64,74,C,95,74,A,61,B,,,,,1,1,3,Y
12973,Y,first,14,16,F,43,49,F,72,B,72,A,B,B,29,8,7,N
12974,Y,second,6,60,A,9,35,A,53,A,22,D,F,D,8,0,2,Y
12975,N,first,85,94,F,8,86,C,81,B,30,D,B,F,17,18,7,N
12976,N,third,6,6,F,,,,,,,,,,0,0,1,Y
12977,Y,first,59,36,B,51,12,D,,,,,,,0,0,0,Y
12978,N,third,1,6,F,10,53,A,47,B,26,A,C,A,1,3,1,N
12979,N,third,12,9,F,,,,,,,,,,4,1,1,Y
12980,Y,third,10,32,F,97,90,A,78,D,54,D,D,A,0,23,1,N
12981,Y,second,3,32,D,24,50,F,73,A,52,B,A,D,0,9,2,N
12982,Y,third,79,3,A,95,59,C,74,F,73,A,F,C,14,3,2,N
12983,Y,third,8,18,D,77,18,C,12,F,,,,,3,2,1,Y
12984,N,second,6,19,D,51,32,F,89,D,46,C,F,D,3,18,8,N
12985,Y,third,14,67,A,77,42,D,71,D,31,C,D,F,7,7,8,N
12986,Y,second,36,56,D,3,37,F,,,,,,,1,0,1,Y
12987,N,third,23,59,D,7,41,D,,,,,,,2,1,2,Y
12988,Y,first,59,50,A,32,66,D,,,,,,,5,4,1,Y
12989,Y,third,66,11,D,82,6,F,13,C,,,,,6,2,1,Y
12990,Y,second,84,5,A,37,6,C,3,F,4,B,A,F,18,14,8,N
12991,N,second,99,78,F,23,97,C,41,B,45,D,C,A,0,20,7,N
12992,Y,first,59,83,D,97,57,B,40,D,12,A,F,F,2,5,4,N
12993,N,third,53,41,F,37,73,F,56,A,45,B,A,A,14,7,7,N
12994,Y,third,46,78,A,82,56,B,50,B,61,A,F,F,15,5,3,N
12995,Y,first,1,39,F,39,87,F,25,A,7,C,F,F,10,1,1,Y
12996,Y,first,2,3,F,35,38,C,96,C,72,B,F,B,9,18,5,N
12997,N,first,8,83,C,54,16,D,41,A,24,A,D,F,19,22,3,N
12998,Y,third,26,43,D,41,16,F,91,F,10,B,A,D,4,5,1,N
12999,N,third,69,81,D,57,62,A,,,,,,,6,0,1,Y
13000,Y,third,23,59,D,,,,,,,,,,0,0,0,Y
13001,Y,first,43,91,A,24,58,B,41,D,61,A,F,D,7,3,3,Y
13002,Y,second,33,31,D,41,45,D,47,C,13,B,D,B,17,17,6,N
13003,Y,third,54,14,B,82,65,C,70,D,59,A,A,F,5,5,1,N
13004,Y,third,57,11,A,56,37,D,31,C,42,B,A,A,4,6,1,N
13005,Y,first,99,24,D,14,20,D,57,C,20,D,C,B,6,9,2,N
13006,Y,first,43,44,A,22,56,F,,,,,,,0,0,0,Y
13007,N,third,94,15,D,88,29,A,12,B,49,D,D,F,10,22,6,N
13008,Y,third,56,31,D,13,35,B,42,C,,,,,8,0,1,Y
13009,Y,first,59,48,A,35,7,F,,,,,,,1,0,0,Y
13010,N,third,37,85,B,86,34,B,83,A,53,B,C,D,17,7,4,N
13011,Y,first,19,16,D,,,,,,,,,,1,1,0,Y
13012,N,first,96,92,A,75,93,F,,,,,,,6,4,2,Y
13013,N,third,63,58,D,18,21,D,,,,,,,2,2,2,Y
13014,N,first,9,5,F,54,35,D,97,F,27,B,F,B,3,7,4,N
13015,Y,first,65,3,D,97,48,D,19,F,5,B,A,F,19,7,7,N
13016,N,first,19,29,F,20,32,F,54,F,20,A,D,C,15,19,7,N
13017,Y,first,6,14,A,6,11,B,26,F,,,,,9,2,1,Y
13018,Y,third,58,49,D,51,2,C,43,C,52,B,D,D,18,17,7,N
13019,Y,first,21,31,C,,,,,,,,,,2,1,1,Y
13020,N,second,22,32,F,,,,,,,,,,1,1,0,Y
13021,Y,third,88,57,F,29,42,C,79,F,24,F,B,A,10,7,8,N
13022,Y,third,20,70,B,80,40,A,40,A,77,B,F,A,7,6,3,N
13023,Y,second,97,43,F,45,62,C,86,B,47,C,D,D,10,16,7,N
13024,Y,second,56,81,A,10,5,D,64,B,55,B,C,C,3,5,1,Y
13025,Y,second,19,8,F,,,,,,,,,,0,0,1,Y
13026,N,third,36,40,C,43,60,F,10,C,45,C,A,A,4,15,9,N
13027,Y,third,48,56,D,14,57,F,,,,,,,3,0,1,Y
13028,N,third,93,9,A,98,79,D,89,D,73,B,D,C,12,10,7,N
13029,Y,first,73,71,D,38,43,F,27,F,85,A,B,A,18,20,8,N
13030,Y,first,41,93,F,82,66,A,64,F,17,C,C,F,8,7,2,N
13031,N,second,45,19,C,87,77,B,19,D,87,F,B,C,5,3,8,N
13032,N,third,8,1,F,33,31,D,80,F,21,B,C,D,27,7,7,N
13033,N,second,2,7,F,4,9,D,29,B,22,D,A,D,1,1,1,N
13034,N,third,48,52,B,62,89,F,,,,,,,5,3,0,Y
13035,Y,third,95,56,A,80,45,D,83,A,11,C,B,F,13,4,4,N
13036,Y,first,1,3,F,,,,,,,,,,3,1,0,Y
13037,N,third,96,66,C,76,66,D,,,,,,,3,1,0,Y
13038,Y,third,54,57,A,90,36,C,1,B,53,C,D,A,8,8,4,N
13039,Y,first,23,32,B,2,53,C,31,D,10,D,C,B,3,5,2,Y
13040,Y,third,78,83,A,68,59,C,51,A,63,B,F,B,6,4,2,N
13041,Y,first,27,54,C,10,19,F,,,,,,,3,0,0,Y
13042,Y,third,21,55,D,29,6,F,,,,,,,4,1,1,Y
13043,N,second,38,63,D,88,97,C,,,,,,,3,4,2,Y
13044,Y,first,48,19,C,86,53,B,24,F,,,,,3,2,1,Y
13045,Y,first,52,2,D,5,79,C,62,A,20,A,D,A,4,7,2,N
13046,Y,first,58,58,F,11,63,F,34,C,69,B,A,D,1,21,6,N
13047,N,third,66,32,A,25,72,D,68,B,71,F,F,A,16,14,6,N
13048,N,third,24,25,B,,,,,,,,,,1,2,0,Y
13049,N,third,60,13,F,92,33,B,61,F,,,,,2,0,1,Y
13050,Y,third,86,21,F,56,38,B,68,A,46,A,B,D,8,23,5,N
13051,Y,second,11,8,F,,,,,,,,,,2,1,0,Y
13052,Y,second,75,67,D,95,15,C,34,C,59,F,B,F,13,7,4,N
13053,Y,first,81,6,A,38,29,A,98,A,13,A,C,B,17,11,5,N
13054,N,third,26,58,F,14,34,B,89,B,52,D,A,C,9,8,9,N
13055,N,third,71,1,C,34,31,F,75,C,52,B,D,C,0,18,4,N
13056,N,first,29,19,B,77,28,C,57,F,95,D,F,A,2,15,8,N
13057,Y,first,96,15,D,50,54,F,42,B,25,D,B,A,5,6,3,N
13058,Y,third,92,73,D,10,26,C,35,D,41,A,F,C,10,5,1,Y
13059,Y,third,57,29,B,89,43,A,38,C,65,D,F,B,5,3,2,N
13060,Y,second,8,65,C,31,6,B,74,F,78,A,A,D,4,4,6,N
13061,N,first,26,31,B,43,89,A,87,F,55,C,F,D,16,22,3,N
13062,N,third,5,6,B,,,,,,,,,,1,0,1,Y
13063,Y,second,79,54,A,4,51,C,56,C,35,B,C,F,6,1,8,N
13064,Y,second,68,87,C,45,98,A,49,A,23,A,F,F,5,10,1,N
13065,Y,first,27,57,D,19,39,F,23,D,9,B,D,B,18,10,9,N
13066,Y,first,27,58,B,75,64,F,25,D,,,,,3,1,1,Y
13067,N,second,86,8,F,60,96,C,10,A,50,D,B,A,12,2,5,N
13068,Y,third,57,86,A,45,55,A,,,,,,,0,2,0,Y
13069,N,third,46,43,A,7,56,A,72,F,,,,,10,3,2,Y
13070,Y,third,60,44,A,51,77,A,55,F,,,,,6,4,0,Y
13071,Y,third,13,27,B,13,35,A,96,C,66,F,B,A,18,17,5,N
13072,Y,third,72,68,C,60,62,F,66,A,20,B,A,F,10,6,4,N
13073,N,third,52,59,B,54,48,D,,,,,,,2,2,2,Y
13074,N,second,94,38,F,87,11,D,30,B,72,A,C,D,14,15,5,N
13075,N,third,0,51,A,81,20,A,66,B,,,,,5,0,3,Y
13076,Y,third,6,7,A,13,43,B,30,F,25,C,C,C,0,1,2,N
13077,N,third,1,71,D,43,21,F,66,A,55,A,C,A,9,2,8,N
13078,N,first,44,83,D,22,29,F,91,D,37,A,F,F,5,2,6,N
13079,N,second,17,19,D,55,53,C,85,C,48,B,C,B,5,16,7,N
13080,Y,second,22,50,D,50,1,B,27,F,,,,,8,1,1,Y
13081,Y,first,8,14,F,,,,,,,,,,2,0,1,Y
13082,N,third,21,39,F,,,,,,,,,,1,0,1,Y
13083,Y,second,91,88,D,75,32,C,79,F,69,A,B,A,15,2,4,N
13084,N,third,89,71,C,47,25,C,12,F,31,A,A,C,16,4,6,N
13085,Y,first,46,44,B,52,26,F,60,F,88,A,A,A,1,4,7,N
13086,Y,second,64,7,A,73,71,A,37,F,34,F,F,C,9,4,3,Y
13087,N,second,76,41,A,89,85,B,51,D,92,C,A,A,4,3,3,N
13088,Y,third,87,63,A,53,39,C,72,B,29,C,D,D,9,5,1,N
13089,Y,third,32,20,F,71,1,F,21,F,30,C,C,D,0,1,5,N
13090,Y,second,32,23,D,78,18,A,10,F,16,C,F,D,13,2,3,Y
13091,Y,third,72,53,A,98,48,A,40,F,69,C,F,D,15,7,3,N
13092,N,first,54,18,F,58,80,D,87,D,48,A,D,C,8,10,6,N
13093,N,third,18,23,D,51,54,D,72,C,70,B,D,D,28,12,4,N
13094,N,third,68,10,D,64,13,C,11,B,90,C,A,A,12,2,9,N
13095,Y,first,71,75,A,39,20,F,,,,,,,3,1,1,Y
13096,Y,third,60,56,D,7,20,A,43,C,27,C,C,C,1,9,1,N
13097,Y,third,6,89,F,21,74,C,4,D,67,F,C,A,8,5,4,N
13098,Y,third,39,53,C,98,69,C,80,D,94,A,C,A,9,9,3,N
13099,Y,second,87,13,A,55,74,A,29,D,35,B,D,D,11,4,3,Y
13100,N,third,5,2,F,9,15,C,27,B,23,A,C,A,0,3,1,N
13101,Y,second,94,75,A,64,88,A,15,D,32,A,F,F,0,3,3,Y
13102,N,third,59,86,F,1,29,C,42,D,73,F,D,D,6,10,8,N
13103,Y,first,10,27,B,,,,,,,,,,2,2,1,Y
13104,Y,first,19,31,A,66,5,B,35,D,,,,,5,1,1,Y
13105,Y,first,26,85,B,23,21,D,71,F,63,A,A,A,18,5,1,N
13106,Y,first,75,7,F,68,4,C,32,C,,,,,1,0,1,Y
13107,N,third,3,15,F,30,31,D,96,C,45,A,B,C,25,11,5,N
13108,Y,third,98,10,F,20,71,A,12,D,33,F,D,F,11,0,2,Y
13109,Y,third,82,15,D,28,2,B,71,D,,,,,8,0,1,Y
13110,Y,first,90,33,C,53,35,B,59,B,80,C,A,A,6,6,2,N
13111,Y,third,91,48,B,67,48,A,73,A,86,B,F,A,13,2,4,N
13112,Y,first,14,23,F,41,44,C,98,B,35,D,B,B,27,4,6,N
13113,N,second,14,16,F,47,50,F,95,C,65,A,A,B,5,9,7,N
13114,Y,first,20,49,C,,,,,,,,,,2,2,1,Y
13115,Y,second,0,14,D,,,,,,,,,,0,1,1,Y
13116,Y,third,3,3,F,,,,,,,,,,3,0,1,Y
13117,N,third,8,32,F,,,,,,,,,,7,0,1,Y
13118,N,third,12,2,A,91,74,A,70,F,,,,,11,2,3,Y
13119,Y,first,25,50,B,45,53,C,,,,,,,0,1,1,Y
13120,N,first,49,46,D,44,28,F,62,B,90,A,D,F,0,21,7,N
13121,Y,second,7,10,D,,,,,,,,,,2,0,1,Y
13122,Y,third,68,77,F,52,63,A,55,B,60,B,C,D,13,5,3,N
13123,N,second,61,51,D,40,50,D,,,,,,,7,4,0,Y
13124,N,third,54,5,B,68,0,F,56,F,,,,,7,4,0,Y
13125,N,third,61,64,B,66,32,F,,,,,,,4,2,2,Y
13126,N,first,96,68,B,81,87,F,30,F,94,A,C,C,19,11,6,N
13127,Y,second,34,40,D,54,65,D,22,F,17,F,D,C,1,3,2,Y
13128,Y,third,27,69,A,83,21,C,15,F,85,A,F,A,7,8,5,N
13129,Y,second,8,27,F,21,54,C,73,F,89,B,F,C,27,10,8,N
13130,N,second,44,35,A,37,77,D,80,F,13,D,A,B,1,12,2,N
13131,Y,third,48,76,D,70,57,F,15,B,25,A,F,C,6,11,7,N
13132,N,third,71,11,A,41,53,A,57,F,,,,,1,1,1,Y
13133,N,third,8,25,F,,,,,,,,,,0,2,1,Y
13134,Y,third,52,37,D,50,71,A,22,B,24,F,B,F,10,2,1,N
13135,N,second,23,62,A,9,10,C,89,D,,,,,4,4,1,Y
13136,Y,third,31,6,A,63,27,C,29,F,65,B,A,C,6,6,2,N
13137,Y,first,49,90,C,55,48,C,83,C,19,C,C,C,14,14,4,N
13138,Y,second,16,12,C,,,,,,,,,,0,1,1,Y
13139,N,first,14,28,C,23,78,B,23,C,86,F,D,A,13,11,6,N
13140,Y,second,10,14,F,,,,,,,,,,1,1,1,Y
13141,N,third,89,80,A,55,38,A,67,C,,,,,8,2,1,Y
13142,Y,first,5,9,F,,,,,,,,,,2,1,0,Y
13143,N,third,63,41,C,70,96,A,63,A,24,F,A,B,16,13,4,N
13144,Y,third,88,20,B,88,47,D,80,B,58,C,B,F,10,6,4,N
13145,N,third,49,65,D,32,34,D,,,,,,,2,2,1,Y
13146,Y,third,91,45,A,94,60,C,20,B,38,C,F,D,3,4,3,N
13147,Y,first,5,2,C,,,,,,,,,,2,1,1,Y
13148,N,third,63,59,B,72,82,F,,,,,,,3,2,0,Y
13149,Y,second,17,70,F,94,41,A,63,C,72,D,C,A,13,8,5,N
13150,N,second,79,36,A,78,96,F,41,A,60,C,A,F,18,4,3,N
13151,Y,third,90,30,A,73,68,B,53,B,65,A,C,D,8,9,1,N
13152,Y,third,85,92,A,46,70,F,29,A,88,A,D,C,7,7,1,N
13153,N,second,5,14,F,4,49,C,24,B,27,A,A,C,3,1,2,N
13154,Y,third,52,32,B,38,7,F,,,,,,,1,2,0,Y
13155,Y,first,41,61,A,61,53,C,72,F,75,A,A,A,12,3,3,N
13156,Y,first,21,47,D,36,20,C,,,,,,,2,0,0,Y
13157,Y,third,87,14,C,77,67,B,27,B,29,A,A,A,5,13,7,N
13158,Y,third,4,4,F,11,8,B,34,F,21,A,D,A,0,2,2,N
13159,N,second,18,5,F,,,,,,,,,,0,0,1,Y
13160,Y,first,56,40,F,86,54,C,48,C,53,C,A,C,13,2,4,N
13161,Y,first,39,26,B,93,50,B,52,C,63,A,A,A,7,7,3,N
13162,Y,first,43,59,F,13,59,C,,,,,,,2,1,1,Y
13163,Y,first,16,15,D,,,,,,,,,,2,0,1,Y
13164,N,third,89,21,B,97,11,B,86,F,,,,,9,2,3,Y
13165,N,second,16,15,D,46,49,B,72,B,21,C,D,A,5,5,5,N
13166,N,third,49,63,C,4,5,F,,,,,,,7,4,1,Y
13167,Y,second,74,86,B,74,20,F,57,C,81,A,B,A,17,11,2,N
13168,Y,third,66,77,A,51,28,F,74,D,,,,,4,1,1,Y
13169,Y,second,4,12,A,9,41,B,42,D,29,A,C,A,4,2,2,N
13170,Y,third,36,67,F,66,27,A,89,A,53,A,A,F,12,3,2,N
13171,Y,second,89,50,C,42,89,A,34,A,38,A,B,C,13,6,4,N
13172,Y,first,25,55,D,34,21,F,,,,,,,3,1,0,Y
13173,Y,first,17,12,F,,,,,,,,,,1,1,1,Y
13174,Y,first,53,75,A,86,50,D,51,F,,,,,9,3,0,Y
13175,Y,third,41,35,D,53,21,F,53,F,,,,,3,1,1,Y
13176,N,third,6,6,A,10,43,F,41,B,28,A,D,B,0,3,2,N
13177,Y,third,15,57,B,57,69,F,60,F,89,D,F,A,10,6,3,N
13178,N,second,20,2,F,,,,,,,,,,4,0,0,Y
13179,Y,second,65,41,D,63,36,B,64,D,63,B,D,F,14,6,4,N
13180,Y,third,31,71,D,87,53,D,78,A,46,B,C,A,11,5,2,N
13181,N,second,94,73,A,68,77,C,4,A,92,A,F,F,12,6,5,N
13182,Y,second,26,4,C,2,61,B,59,A,37,A,A,C,3,23,4,N
13183,N,second,25,10,D,51,68,B,40,B,97,A,C,B,18,13,2,N
13184,N,second,56,54,C,73,34,C,,,,,,,7,3,0,Y
13185,N,second,78,75,A,55,52,B,13,B,93,F,B,A,9,11,3,N
13186,N,third,67,82,F,57,79,D,,,,,,,0,2,0,Y
13187,N,second,4,6,F,,,,,,,,,,0,1,0,Y
13188,Y,second,31,51,F,68,65,B,12,D,,,,,9,2,0,Y
13189,Y,first,3,2,B,,,,,,,,,,0,1,0,Y
13190,N,second,11,29,F,34,48,D,46,C,23,A,B,B,10,5,7,N
13191,Y,second,37,56,B,77,81,C,61,F,42,C,B,C,12,20,3,N
13192,N,third,52,54,A,73,10,D,,,,,,,6,2,1,Y
13193,Y,first,0,10,A,8,3,B,16,F,,,,,4,2,0,Y
13194,N,first,6,22,D,34,32,C,98,D,46,A,C,C,19,12,5,N
13195,N,second,98,77,A,83,51,F,51,F,71,B,A,A,5,3,1,N
13196,Y,second,30,0,A,43,36,C,59,D,,,,,2,3,1,Y
13197,Y,third,38,9,A,54,40,F,74,F,81,F,A,C,12,3,4,N
13198,Y,second,1,12,F,26,43,D,61,B,38,A,C,C,23,5,8,N
13199,N,second,6,4,A,6,42,B,49,B,27,A,C,C,0,2,2,N
13200,Y,third,42,73,D,56,29,A,92,A,61,B,C,D,14,9,3,N
13201,Y,first,17,92,A,60,48,A,57,B,6,F,D,F,4,1,1,Y
13202,N,third,21,7,F,,,,,,,,,,5,0,0,Y
13203,Y,second,48,8,B,37,70,A,19,A,77,A,B,B,11,9,1,N
13204,N,third,28,69,A,5,47,B,76,F,,,,,0,1,1,Y
13205,N,third,73,95,C,82,29,F,81,F,,,,,7,4,1,Y
13206,Y,third,83,35,D,66,56,A,74,A,12,D,D,B,14,6,3,N
13207,N,third,55,50,C,10,41,D,,,,,,,3,4,2,Y
13208,N,second,6,12,B,7,50,C,27,B,21,F,A,A,2,1,2,N
13209,Y,third,18,55,F,56,28,B,19,A,80,C,F,B,7,6,4,N
13210,N,second,23,60,D,65,91,D,,,,,,,2,0,0,Y
13211,N,third,93,43,B,18,34,A,95,C,23,B,F,F,11,8,6,N
13212,N,third,16,39,F,,,,,,,,,,7,0,1,Y
13213,Y,third,31,8,A,91,41,D,22,C,34,D,F,A,7,6,1,N
13214,Y,third,95,82,C,83,29,B,38,A,19,F,F,F,4,7,4,N
13215,N,third,5,5,B,10,41,C,38,B,24,A,A,A,4,1,1,N
13216,N,first,2,8,F,54,53,F,78,C,33,A,B,D,3,18,8,N
13217,N,second,15,29,F,51,49,C,79,C,20,D,C,B,5,13,6,N
13218,Y,first,30,58,B,0,2,F,,,,,,,3,0,1,Y
13219,Y,third,57,60,A,68,84,A,55,F,7,D,F,D,6,8,1,N
13220,N,first,18,12,F,46,37,D,48,C,67,A,F,C,24,3,7,N
13221,Y,first,12,18,F,,,,,,,,,,1,0,1,Y
13222,Y,first,13,2,F,,,,,,,,,,2,0,0,Y
13223,N,third,6,3,F,58,48,D,92,D,97,D,B,C,23,16,5,N
13224,N,third,71,65,A,3,57,F,89,F,,,,,4,2,2,Y
13225,N,third,44,65,D,2,44,D,,,,,,,4,0,0,Y
13226,N,first,96,61,C,43,46,D,,,,,,,6,1,1,Y
13227,Y,second,88,82,B,86,55,C,85,B,11,A,D,D,7,6,2,N
13228,N,second,3,1,A,2,55,A,32,D,26,F,C,A,0,2,1,N
13229,Y,first,32,32,B,89,58,B,60,B,38,C,F,B,2,10,1,N
13230,Y,third,36,54,C,69,34,C,69,C,54,F,D,F,6,7,3,N
13231,N,third,36,44,D,23,52,F,82,F,,,,,5,1,0,Y
13232,Y,third,75,25,A,86,43,A,45,A,30,C,A,B,2,4,3,N
13233,N,third,24,56,D,47,18,C,,,,,,,3,3,0,Y
13234,Y,third,41,10,F,67,52,A,38,F,18,F,A,D,7,0,3,Y
13235,Y,third,73,57,A,65,26,A,72,B,30,A,C,A,4,6,4,N
13236,Y,second,38,37,D,27,52,C,,,,,,,4,0,0,Y
13237,Y,third,91,74,A,56,39,A,56,A,42,A,F,A,11,5,4,N
13238,Y,second,7,1,D,,,,,,,,,,3,1,0,Y
13239,N,first,84,61,A,73,58,D,,,,,,,4,2,1,Y
13240,Y,second,51,5,B,5,66,D,33,D,,,,,1,0,0,Y
13241,N,first,3,19,D,59,37,B,95,C,66,A,B,B,13,11,8,N
13242,Y,third,3,9,A,4,41,C,46,A,25,B,A,B,0,1,2,N
13243,Y,third,52,98,D,73,71,F,82,F,18,A,F,C,15,4,1,N
13244,Y,first,63,92,A,74,78,A,86,F,67,D,C,F,3,1,0,Y
13245,Y,second,85,80,C,57,5,B,35,C,23,B,F,D,9,10,5,N
13246,Y,third,40,59,A,73,56,A,41,F,80,A,D,F,7,8,2,N
13247,Y,second,17,18,F,44,37,C,91,C,71,C,B,D,20,11,5,N
13248,Y,first,7,5,D,,,,,,,,,,1,0,1,Y
13249,Y,first,34,40,A,35,27,F,59,C,,,,,9,0,0,Y
13250,Y,third,46,46,D,42,40,C,,,,,,,2,1,0,Y
13251,Y,third,46,15,B,54,36,D,39,B,32,F,A,C,5,7,2,N
13252,Y,second,72,16,B,58,68,B,48,F,,,,,9,2,1,Y
13253,Y,second,97,45,A,79,35,C,88,A,65,D,A,A,9,6,3,N
13254,Y,first,67,64,B,75,63,B,56,D,,,,,1,2,1,Y
13255,N,second,10,5,D,35,46,C,76,B,39,B,A,C,10,14,4,N
13256,N,first,14,96,D,77,73,F,97,D,96,F,A,B,12,17,1,N
13257,N,second,12,2,F,38,50,B,77,C,24,B,C,D,18,19,8,N
13258,N,first,89,4,F,59,99,A,82,A,35,F,B,F,16,12,8,N
13259,N,second,60,48,A,90,46,D,76,B,53,D,F,D,7,4,2,N
13260,Y,third,51,90,C,62,10,B,9,D,33,F,F,C,1,4,3,Y
13261,Y,third,31,60,A,93,54,C,71,F,80,C,F,F,14,9,2,N
